Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4352.00;EUR/MW;21760.00;EUR;25.90;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3321.00;EUR/MW;16605.00;EUR;19.77;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3326.00;EUR/MW;16630.00;EUR;19.80;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3336.00;EUR/MW;16680.00;EUR;19.86;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3338.00;EUR/MW;16690.00;EUR;19.87;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3353.00;EUR/MW;16765.00;EUR;19.96;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3652.00;EUR/MW;36520.00;EUR;21.74;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3656.00;EUR/MW;36560.00;EUR;21.76;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3660.00;EUR/MW;36600.00;EUR;21.79;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3663.00;EUR/MW;36630.00;EUR;21.80;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3670.00;EUR/MW;36700.00;EUR;21.85;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3675.00;EUR/MW;36750.00;EUR;21.88;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3678.00;EUR/MW;36780.00;EUR;21.89;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4048.00;EUR/MW;20240.00;EUR;24.10;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4057.00;EUR/MW;20285.00;EUR;24.15;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4063.00;EUR/MW;20315.00;EUR;24.18;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4068.00;EUR/MW;20340.00;EUR;24.21;EUR/MWh*;DE
