Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land;Angebotspreis;Einheit;Teilbarkeit
SRL_24_KW08_S1;Secondary control Auction SRL+;100;MW;100;MW;2654.40;CHF/MW;265440.00;CHF;15.80;CHF/MWh*;CH;15.80;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;40;MW;40;MW;3158.40;CHF/MW;126336.00;CHF;18.80;CHF/MWh*;CH;18.80;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;4872.00;CHF/MW;24360.00;CHF;29.00;CHF/MWh*;CH;29.00;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;30;MW;30;MW;2689.00;CHF/MW;80670.00;CHF;16.01;CHF/MWh*;CH;16.01;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;2968.00;CHF/MW;14840.00;CHF;17.67;CHF/MWh*;CH;17.67;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;15;MW;15;MW;3721.00;CHF/MW;55815.00;CHF;22.15;CHF/MWh*;CH;22.15;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;5;MW;5;MW;4132.80;CHF/MW;20664.00;CHF;24.60;CHF/MWh*;CH;24.60;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;10;MW;10;MW;2248.00;CHF/MW;22480.00;CHF;13.38;CHF/MWh*;CH;13.38;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;10;MW;10;MW;4270.00;CHF/MW;42700.00;CHF;25.42;CHF/MWh*;CH;25.42;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;5;MW;5;MW;4132.80;CHF/MW;20664.00;CHF;24.60;CHF/MWh*;CH;24.60;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;5;MW;5;MW;4132.80;CHF/MW;20664.00;CHF;24.60;CHF/MWh*;CH;24.60;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;5;MW;5;MW;4132.80;CHF/MW;20664.00;CHF;24.60;CHF/MWh*;CH;24.60;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;10;MW;10;MW;4131.12;CHF/MW;41311.20;CHF;24.59;CHF/MWh*;CH;24.59;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;100;MW;100;MW;3292.80;CHF/MW;329280.00;CHF;19.60;CHF/MWh*;CH;19.60;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;40;MW;40;MW;3964.80;CHF/MW;158592.00;CHF;23.60;CHF/MWh*;CH;23.60;CHF/MWh*;
