Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_16_KW02;Primary control Auction;2;MW;2;MW;3131.00;EUR/MW;6262.00;EUR;18.64;EUR/MWh*
PRL_16_KW02;Primary control Auction;4;MW;4;MW;3280.00;EUR/MW;13120.00;EUR;19.52;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;2968.00;EUR/MW;5936.00;EUR;17.67;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;3188.00;EUR/MW;3188.00;EUR;18.98;EUR/MWh*
PRL_16_KW02;Primary control Auction;5;MW;5;MW;2852.64;EUR/MW;14263.20;EUR;16.98;EUR/MWh*
PRL_16_KW02;Primary control Auction;5;MW;5;MW;2862.72;EUR/MW;14313.60;EUR;17.04;EUR/MWh*
PRL_16_KW02;Primary control Auction;5;MW;5;MW;2872.80;EUR/MW;14364.00;EUR;17.10;EUR/MWh*
PRL_16_KW02;Primary control Auction;5;MW;5;MW;2884.56;EUR/MW;14422.80;EUR;17.17;EUR/MWh*
PRL_16_KW02;Primary control Auction;3;MW;3;MW;2894.64;EUR/MW;8683.92;EUR;17.23;EUR/MWh*
PRL_16_KW02;Primary control Auction;3;MW;3;MW;2904.72;EUR/MW;8714.16;EUR;17.29;EUR/MWh*
PRL_16_KW02;Primary control Auction;3;MW;3;MW;2914.80;EUR/MW;8744.40;EUR;17.35;EUR/MWh*
PRL_16_KW02;Primary control Auction;3;MW;3;MW;2926.56;EUR/MW;8779.68;EUR;17.42;EUR/MWh*
PRL_16_KW02;Primary control Auction;3;MW;3;MW;2936.64;EUR/MW;8809.92;EUR;17.48;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;2946.72;EUR/MW;5893.44;EUR;17.54;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;2956.80;EUR/MW;5913.60;EUR;17.60;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;2968.56;EUR/MW;5937.12;EUR;17.67;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;2978.64;EUR/MW;5957.28;EUR;17.73;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;2988.72;EUR/MW;5977.44;EUR;17.79;EUR/MWh*
PRL_16_KW02;Primary control Auction;3;MW;3;MW;2993.76;EUR/MW;8981.28;EUR;17.82;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;3010.56;EUR/MW;6021.12;EUR;17.92;EUR/MWh*
PRL_16_KW02;Primary control Auction;5;MW;5;MW;3123.12;EUR/MW;15615.60;EUR;18.59;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;3100.00;EUR/MW;6200.00;EUR;18.45;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;3188.00;EUR/MW;3188.00;EUR;18.98;EUR/MWh*
