Ausschreibung,Beschreibung,Total_MW
PRL_23_02_01,Primary control Auction 16:00 bis 20:00,67
PRL_23_02_01,Primary control Auction 20:00 bis 24:00,56
PRL_23_02_02,Primary control Auction 00:00 bis 04:00,46
PRL_23_02_02,Primary control Auction 04:00 bis 08:00,58
PRL_23_02_02,Primary control Auction 08:00 bis 12:00,72
PRL_23_02_02,Primary control Auction 12:00 bis 16:00,57
PRL_23_02_02,Primary control Auction 16:00 bis 20:00,75
PRL_23_02_02,Primary control Auction 20:00 bis 24:00,40
PRL_23_02_03,Primary control Auction 00:00 bis 04:00,29
PRL_23_02_03,Primary control Auction 04:00 bis 08:00,26
PRL_23_02_03,Primary control Auction 08:00 bis 12:00,39
PRL_23_02_03,Primary control Auction 12:00 bis 16:00,51
PRL_23_02_03,Primary control Auction 16:00 bis 20:00,43
PRL_23_02_03,Primary control Auction 20:00 bis 24:00,35
PRL_23_02_04,Primary control Auction 00:00 bis 04:00,25
PRL_23_02_04,Primary control Auction 04:00 bis 08:00,29
PRL_23_02_04,Primary control Auction 08:00 bis 12:00,32
PRL_23_02_04,Primary control Auction 12:00 bis 16:00,38
PRL_23_02_04,Primary control Auction 16:00 bis 20:00,33
PRL_23_02_04,Primary control Auction 20:00 bis 24:00,34
PRL_23_02_05,Primary control Auction 00:00 bis 04:00,19
PRL_23_02_05,Primary control Auction 04:00 bis 08:00,19
PRL_23_02_05,Primary control Auction 08:00 bis 12:00,19
PRL_23_02_05,Primary control Auction 12:00 bis 16:00,29
PRL_23_02_05,Primary control Auction 16:00 bis 20:00,26
PRL_23_02_05,Primary control Auction 20:00 bis 24:00,23
PRL_23_02_06,Primary control Auction 00:00 bis 04:00,19
PRL_23_02_06,Primary control Auction 04:00 bis 08:00,56
PRL_23_02_06,Primary control Auction 08:00 bis 12:00,28
PRL_23_02_06,Primary control Auction 12:00 bis 16:00,39
PRL_23_02_06,Primary control Auction 16:00 bis 20:00,51
PRL_23_02_06,Primary control Auction 20:00 bis 24:00,39
PRL_23_02_07,Primary control Auction 00:00 bis 04:00,22
PRL_23_02_07,Primary control Auction 04:00 bis 08:00,48
PRL_23_02_07,Primary control Auction 08:00 bis 12:00,54
PRL_23_02_07,Primary control Auction 12:00 bis 16:00,51
PRL_23_02_07,Primary control Auction 16:00 bis 20:00,46
PRL_23_02_07,Primary control Auction 20:00 bis 24:00,55
PRL_23_02_08,Primary control Auction 00:00 bis 04:00,19
PRL_23_02_08,Primary control Auction 04:00 bis 08:00,38
PRL_23_02_08,Primary control Auction 08:00 bis 12:00,33
PRL_23_02_08,Primary control Auction 12:00 bis 16:00,36
PRL_23_02_08,Primary control Auction 16:00 bis 20:00,59
PRL_23_02_08,Primary control Auction 20:00 bis 24:00,55
PRL_23_02_09,Primary control Auction 00:00 bis 04:00,32
PRL_23_02_09,Primary control Auction 04:00 bis 08:00,38
PRL_23_02_09,Primary control Auction 08:00 bis 12:00,65
PRL_23_02_09,Primary control Auction 12:00 bis 16:00,59
PRL_23_02_09,Primary control Auction 16:00 bis 20:00,62
PRL_23_02_09,Primary control Auction 20:00 bis 24:00,34
PRL_23_02_10,Primary control Auction 00:00 bis 04:00,19
PRL_23_02_10,Primary control Auction 04:00 bis 08:00,22
PRL_23_02_10,Primary control Auction 08:00 bis 12:00,52
PRL_23_02_10,Primary control Auction 12:00 bis 16:00,43
PRL_23_02_10,Primary control Auction 16:00 bis 20:00,37
PRL_23_02_10,Primary control Auction 20:00 bis 24:00,55
PRL_23_02_11,Primary control Auction 00:00 bis 04:00,48
PRL_23_02_11,Primary control Auction 04:00 bis 08:00,49
PRL_23_02_11,Primary control Auction 08:00 bis 12:00,86
PRL_23_02_11,Primary control Auction 12:00 bis 16:00,35
PRL_23_02_11,Primary control Auction 16:00 bis 20:00,43
PRL_23_02_11,Primary control Auction 20:00 bis 24:00,41
PRL_23_02_12,Primary control Auction 00:00 bis 04:00,60
PRL_23_02_12,Primary control Auction 04:00 bis 08:00,90
PRL_23_02_12,Primary control Auction 08:00 bis 12:00,66
PRL_23_02_12,Primary control Auction 12:00 bis 16:00,52
PRL_23_02_12,Primary control Auction 16:00 bis 20:00,27
PRL_23_02_12,Primary control Auction 20:00 bis 24:00,25
PRL_23_02_13,Primary control Auction 00:00 bis 04:00,72
PRL_23_02_13,Primary control Auction 04:00 bis 08:00,92
PRL_23_02_13,Primary control Auction 08:00 bis 12:00,27
PRL_23_02_13,Primary control Auction 12:00 bis 16:00,75
PRL_23_02_13,Primary control Auction 16:00 bis 20:00,19
PRL_23_02_13,Primary control Auction 20:00 bis 24:00,19
PRL_23_02_14,Primary control Auction 00:00 bis 04:00,20
PRL_23_02_14,Primary control Auction 04:00 bis 08:00,69
PRL_23_02_14,Primary control Auction 08:00 bis 12:00,58
PRL_23_02_14,Primary control Auction 12:00 bis 16:00,38
PRL_23_02_14,Primary control Auction 16:00 bis 20:00,35
PRL_23_02_14,Primary control Auction 20:00 bis 24:00,19
PRL_23_02_15,Primary control Auction 00:00 bis 04:00,19
PRL_23_02_15,Primary control Auction 04:00 bis 08:00,39
PRL_23_02_15,Primary control Auction 08:00 bis 12:00,31
PRL_23_02_15,Primary control Auction 12:00 bis 16:00,25
PRL_23_02_15,Primary control Auction 16:00 bis 20:00,19
PRL_23_02_15,Primary control Auction 20:00 bis 24:00,19
PRL_23_02_16,Primary control Auction 00:00 bis 04:00,27
PRL_23_02_16,Primary control Auction 04:00 bis 08:00,46
PRL_23_02_16,Primary control Auction 08:00 bis 12:00,31
PRL_23_02_16,Primary control Auction 12:00 bis 16:00,30
PRL_23_02_16,Primary control Auction 16:00 bis 20:00,19
PRL_23_02_16,Primary control Auction 20:00 bis 24:00,19
PRL_23_02_17,Primary control Auction 00:00 bis 04:00,29
PRL_23_02_17,Primary control Auction 04:00 bis 08:00,47
PRL_23_02_17,Primary control Auction 08:00 bis 12:00,33
PRL_23_02_17,Primary control Auction 12:00 bis 16:00,57
PRL_23_02_17,Primary control Auction 16:00 bis 20:00,35
PRL_23_02_17,Primary control Auction 20:00 bis 24:00,32
PRL_23_02_18,Primary control Auction 00:00 bis 04:00,43
PRL_23_02_18,Primary control Auction 04:00 bis 08:00,53
PRL_23_02_18,Primary control Auction 08:00 bis 12:00,60
PRL_23_02_18,Primary control Auction 12:00 bis 16:00,34
PRL_23_02_18,Primary control Auction 16:00 bis 20:00,46
PRL_23_02_18,Primary control Auction 20:00 bis 24:00,62
PRL_23_02_19,Primary control Auction 00:00 bis 04:00,25
PRL_23_02_19,Primary control Auction 04:00 bis 08:00,21
PRL_23_02_19,Primary control Auction 08:00 bis 12:00,71
PRL_23_02_19,Primary control Auction 12:00 bis 16:00,53
PRL_23_02_19,Primary control Auction 16:00 bis 20:00,45
PRL_23_02_19,Primary control Auction 20:00 bis 24:00,44
PRL_23_02_20,Primary control Auction 00:00 bis 04:00,78
PRL_23_02_20,Primary control Auction 04:00 bis 08:00,76
PRL_23_02_20,Primary control Auction 08:00 bis 12:00,105
PRL_23_02_20,Primary control Auction 12:00 bis 16:00,64
PRL_23_02_20,Primary control Auction 16:00 bis 20:00,69
PRL_23_02_20,Primary control Auction 20:00 bis 24:00,62
PRL_23_02_21,Primary control Auction 00:00 bis 04:00,123
PRL_23_02_21,Primary control Auction 04:00 bis 08:00,83
PRL_23_02_21,Primary control Auction 08:00 bis 12:00,102
PRL_23_02_21,Primary control Auction 12:00 bis 16:00,93
PRL_23_02_21,Primary control Auction 16:00 bis 20:00,70
PRL_23_02_21,Primary control Auction 20:00 bis 24:00,34
PRL_23_02_22,Primary control Auction 00:00 bis 04:00,34
PRL_23_02_22,Primary control Auction 04:00 bis 08:00,37
PRL_23_02_22,Primary control Auction 08:00 bis 12:00,60
PRL_23_02_22,Primary control Auction 12:00 bis 16:00,55
PRL_23_02_22,Primary control Auction 16:00 bis 20:00,43
PRL_23_02_22,Primary control Auction 20:00 bis 24:00,31
PRL_23_02_23,Primary control Auction 00:00 bis 04:00,32
PRL_23_02_23,Primary control Auction 04:00 bis 08:00,34
PRL_23_02_23,Primary control Auction 08:00 bis 12:00,19
PRL_23_02_23,Primary control Auction 12:00 bis 16:00,37
PRL_23_02_23,Primary control Auction 16:00 bis 20:00,40
PRL_23_02_23,Primary control Auction 20:00 bis 24:00,38
PRL_23_02_24,Primary control Auction 00:00 bis 04:00,54
PRL_23_02_24,Primary control Auction 04:00 bis 08:00,65
PRL_23_02_24,Primary control Auction 08:00 bis 12:00,59
PRL_23_02_24,Primary control Auction 12:00 bis 16:00,62
PRL_23_02_24,Primary control Auction 16:00 bis 20:00,48
PRL_23_02_24,Primary control Auction 20:00 bis 24:00,44
PRL_23_02_25,Primary control Auction 00:00 bis 04:00,73
PRL_23_02_25,Primary control Auction 04:00 bis 08:00,67
PRL_23_02_25,Primary control Auction 08:00 bis 12:00,74
PRL_23_02_25,Primary control Auction 12:00 bis 16:00,62
PRL_23_02_25,Primary control Auction 16:00 bis 20:00,52
PRL_23_02_25,Primary control Auction 20:00 bis 24:00,72
PRL_23_02_26,Primary control Auction 00:00 bis 04:00,75
PRL_23_02_26,Primary control Auction 04:00 bis 08:00,84
PRL_23_02_26,Primary control Auction 08:00 bis 12:00,76
PRL_23_02_26,Primary control Auction 12:00 bis 16:00,48
PRL_23_02_26,Primary control Auction 16:00 bis 20:00,42
PRL_23_02_26,Primary control Auction 20:00 bis 24:00,28
PRL_23_02_27,Primary control Auction 00:00 bis 04:00,76
PRL_23_02_27,Primary control Auction 04:00 bis 08:00,104
PRL_23_02_27,Primary control Auction 08:00 bis 12:00,128
PRL_23_02_27,Primary control Auction 12:00 bis 16:00,79
PRL_23_02_27,Primary control Auction 16:00 bis 20:00,59
PRL_23_02_27,Primary control Auction 20:00 bis 24:00,58
PRL_23_02_28,Primary control Auction 00:00 bis 04:00,63
PRL_23_02_28,Primary control Auction 04:00 bis 08:00,86
PRL_23_02_28,Primary control Auction 08:00 bis 12:00,77
PRL_23_02_28,Primary control Auction 12:00 bis 16:00,114
PRL_23_02_28,Primary control Auction 16:00 bis 20:00,77
PRL_23_02_28,Primary control Auction 20:00 bis 24:00,43
PRL_23_03_01,Primary control Auction 00:00 bis 04:00,94
PRL_23_03_01,Primary control Auction 04:00 bis 08:00,106
PRL_23_03_01,Primary control Auction 08:00 bis 12:00,90
PRL_23_03_01,Primary control Auction 12:00 bis 16:00,85
PRL_23_03_01,Primary control Auction 16:00 bis 20:00,80
PRL_23_03_01,Primary control Auction 20:00 bis 24:00,47
PRL_23_03_02,Primary control Auction 00:00 bis 04:00,59
PRL_23_03_02,Primary control Auction 04:00 bis 08:00,87
PRL_23_03_02,Primary control Auction 08:00 bis 12:00,89
PRL_23_03_02,Primary control Auction 12:00 bis 16:00,102
PRL_23_03_02,Primary control Auction 16:00 bis 20:00,81
PRL_23_03_02,Primary control Auction 20:00 bis 24:00,60
PRL_23_03_03,Primary control Auction 00:00 bis 04:00,29
PRL_23_03_03,Primary control Auction 04:00 bis 08:00,63
PRL_23_03_03,Primary control Auction 08:00 bis 12:00,71
PRL_23_03_03,Primary control Auction 12:00 bis 16:00,86
PRL_23_03_03,Primary control Auction 16:00 bis 20:00,77
PRL_23_03_03,Primary control Auction 20:00 bis 24:00,58
PRL_23_03_04,Primary control Auction 00:00 bis 04:00,57
PRL_23_03_04,Primary control Auction 04:00 bis 08:00,109
PRL_23_03_04,Primary control Auction 08:00 bis 12:00,63
PRL_23_03_04,Primary control Auction 12:00 bis 16:00,78
PRL_23_03_04,Primary control Auction 16:00 bis 20:00,70
PRL_23_03_04,Primary control Auction 20:00 bis 24:00,42
PRL_23_03_05,Primary control Auction 00:00 bis 04:00,62
PRL_23_03_05,Primary control Auction 04:00 bis 08:00,80
PRL_23_03_05,Primary control Auction 08:00 bis 12:00,64
PRL_23_03_05,Primary control Auction 12:00 bis 16:00,19
PRL_23_03_05,Primary control Auction 16:00 bis 20:00,52
PRL_23_03_05,Primary control Auction 20:00 bis 24:00,35
PRL_23_03_06,Primary control Auction 00:00 bis 04:00,57
PRL_23_03_06,Primary control Auction 04:00 bis 08:00,86
PRL_23_03_06,Primary control Auction 08:00 bis 12:00,41
PRL_23_03_06,Primary control Auction 12:00 bis 16:00,88
PRL_23_03_06,Primary control Auction 16:00 bis 20:00,64
PRL_23_03_06,Primary control Auction 20:00 bis 24:00,51
PRL_23_03_07,Primary control Auction 00:00 bis 04:00,73
PRL_23_03_07,Primary control Auction 04:00 bis 08:00,73
PRL_23_03_07,Primary control Auction 08:00 bis 12:00,68
PRL_23_03_07,Primary control Auction 12:00 bis 16:00,77
PRL_23_03_07,Primary control Auction 16:00 bis 20:00,68
PRL_23_03_07,Primary control Auction 20:00 bis 24:00,51
PRL_23_03_08,Primary control Auction 00:00 bis 04:00,40
PRL_23_03_08,Primary control Auction 04:00 bis 08:00,89
PRL_23_03_08,Primary control Auction 08:00 bis 12:00,59
PRL_23_03_08,Primary control Auction 12:00 bis 16:00,36
PRL_23_03_08,Primary control Auction 16:00 bis 20:00,33
PRL_23_03_08,Primary control Auction 20:00 bis 24:00,39
PRL_23_03_09,Primary control Auction 00:00 bis 04:00,46
PRL_23_03_09,Primary control Auction 04:00 bis 08:00,90
PRL_23_03_09,Primary control Auction 08:00 bis 12:00,46
PRL_23_03_09,Primary control Auction 12:00 bis 16:00,86
PRL_23_03_09,Primary control Auction 16:00 bis 20:00,33
PRL_23_03_09,Primary control Auction 20:00 bis 24:00,46
PRL_23_03_10,Primary control Auction 00:00 bis 04:00,45
PRL_23_03_10,Primary control Auction 04:00 bis 08:00,55
PRL_23_03_10,Primary control Auction 08:00 bis 12:00,25
PRL_23_03_10,Primary control Auction 12:00 bis 16:00,27
PRL_23_03_10,Primary control Auction 16:00 bis 20:00,31
PRL_23_03_10,Primary control Auction 20:00 bis 24:00,31
PRL_23_03_11,Primary control Auction 00:00 bis 04:00,49
PRL_23_03_11,Primary control Auction 04:00 bis 08:00,49
PRL_23_03_11,Primary control Auction 08:00 bis 12:00,45
PRL_23_03_11,Primary control Auction 12:00 bis 16:00,55
PRL_23_03_11,Primary control Auction 16:00 bis 20:00,46
PRL_23_03_11,Primary control Auction 20:00 bis 24:00,46
PRL_23_03_12,Primary control Auction 00:00 bis 04:00,39
PRL_23_03_12,Primary control Auction 04:00 bis 08:00,36
PRL_23_03_12,Primary control Auction 08:00 bis 12:00,32
PRL_23_03_12,Primary control Auction 12:00 bis 16:00,31
PRL_23_03_12,Primary control Auction 16:00 bis 20:00,30
PRL_23_03_12,Primary control Auction 20:00 bis 24:00,33
PRL_23_03_13,Primary control Auction 00:00 bis 04:00,41
PRL_23_03_13,Primary control Auction 04:00 bis 08:00,43
PRL_23_03_13,Primary control Auction 08:00 bis 12:00,37
PRL_23_03_13,Primary control Auction 12:00 bis 16:00,35
PRL_23_03_13,Primary control Auction 16:00 bis 20:00,32
PRL_23_03_13,Primary control Auction 20:00 bis 24:00,33
PRL_23_03_14,Primary control Auction 00:00 bis 04:00,50
PRL_23_03_14,Primary control Auction 04:00 bis 08:00,49
PRL_23_03_14,Primary control Auction 08:00 bis 12:00,62
PRL_23_03_14,Primary control Auction 12:00 bis 16:00,64
PRL_23_03_14,Primary control Auction 16:00 bis 20:00,55
PRL_23_03_14,Primary control Auction 20:00 bis 24:00,28
PRL_23_03_15,Primary control Auction 00:00 bis 04:00,29
PRL_23_03_15,Primary control Auction 04:00 bis 08:00,32
PRL_23_03_15,Primary control Auction 08:00 bis 12:00,91
PRL_23_03_15,Primary control Auction 12:00 bis 16:00,83
PRL_23_03_15,Primary control Auction 16:00 bis 20:00,19
PRL_23_03_15,Primary control Auction 20:00 bis 24:00,24
PRL_23_03_16,Primary control Auction 00:00 bis 04:00,19
PRL_23_03_16,Primary control Auction 04:00 bis 08:00,19
PRL_23_03_16,Primary control Auction 08:00 bis 12:00,90
PRL_23_03_16,Primary control Auction 12:00 bis 16:00,95
PRL_23_03_16,Primary control Auction 16:00 bis 20:00,93
PRL_23_03_16,Primary control Auction 20:00 bis 24:00,43
