Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4472.16;EUR/MW;8944.32;EUR;26.62;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;3998;EUR/MW;7996;EUR;23.8;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4068;EUR/MW;8136;EUR;24.21;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4148;EUR/MW;8296;EUR;24.69;EUR/MWh*
PRL_15_KW15;Primary control Auction;3;MW;3;MW;3964;EUR/MW;11892;EUR;23.6;EUR/MWh*
PRL_15_KW15;Primary control Auction;3;MW;3;MW;4047;EUR/MW;12141;EUR;24.09;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4134;EUR/MW;8268;EUR;24.61;EUR/MWh*
PRL_15_KW15;Primary control Auction;5;MW;1;MW;4490;EUR/MW;4490;EUR;26.73;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4050;EUR/MW;8100;EUR;24.11;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4125;EUR/MW;8250;EUR;24.55;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;3949;EUR/MW;39490;EUR;23.51;EUR/MWh*
PRL_15_KW16;Primary control Auction;25;MW;25;MW;3968;EUR/MW;99200;EUR;23.62;EUR/MWh*
PRL_15_KW16;Primary control Auction;3;MW;3;MW;4098;EUR/MW;12294;EUR;24.39;EUR/MWh*
PRL_15_KW16;Primary control Auction;25;MW;25;MW;4148;EUR/MW;103700;EUR;24.69;EUR/MWh*
PRL_15_KW16;Primary control Auction;20;MW;20;MW;4265;EUR/MW;85300;EUR;25.39;EUR/MWh*
PRL_15_KW16;Primary control Auction;3;MW;3;MW;3980;EUR/MW;11940;EUR;23.69;EUR/MWh*
PRL_15_KW16;Primary control Auction;4;MW;4;MW;4180;EUR/MW;16720;EUR;24.88;EUR/MWh*
PRL_15_KW16;Primary control Auction;3;MW;3;MW;4380;EUR/MW;13140;EUR;26.07;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3600;EUR/MW;7200;EUR;21.43;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3790;EUR/MW;7580;EUR;22.56;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3848;EUR/MW;7696;EUR;22.9;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3928;EUR/MW;7856;EUR;23.38;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4048;EUR/MW;8096;EUR;24.1;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3674.16;EUR/MW;7348.32;EUR;21.87;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3692.64;EUR/MW;7385.28;EUR;21.98;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3711.12;EUR/MW;7422.24;EUR;22.09;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3729.6;EUR/MW;7459.2;EUR;22.2;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3748.08;EUR/MW;7496.16;EUR;22.31;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3768.24;EUR/MW;7536.48;EUR;22.43;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3786.72;EUR/MW;7573.44;EUR;22.54;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3805.2;EUR/MW;7610.4;EUR;22.65;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3823.68;EUR/MW;7647.36;EUR;22.76;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3842.16;EUR/MW;7684.32;EUR;22.87;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3860.64;EUR/MW;7721.28;EUR;22.98;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3879.12;EUR/MW;7758.24;EUR;23.09;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3897.6;EUR/MW;7795.2;EUR;23.2;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3916.08;EUR/MW;7832.16;EUR;23.31;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3934.56;EUR/MW;7869.12;EUR;23.42;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3954.72;EUR/MW;7909.44;EUR;23.54;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3973.2;EUR/MW;7946.4;EUR;23.65;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;3991.68;EUR/MW;7983.36;EUR;23.76;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4010.16;EUR/MW;8020.32;EUR;23.87;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4028.64;EUR/MW;8057.28;EUR;23.98;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4040.4;EUR/MW;8080.8;EUR;24.05;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4085.76;EUR/MW;8171.52;EUR;24.32;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4132.8;EUR/MW;8265.6;EUR;24.6;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4178.16;EUR/MW;8356.32;EUR;24.87;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4223.52;EUR/MW;8447.04;EUR;25.14;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4257.12;EUR/MW;8514.24;EUR;25.34;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4391.52;EUR/MW;8783.04;EUR;26.14;EUR/MWh*
PRL_15_KW16;Primary control Auction;4;MW;4;MW;3922;EUR/MW;15688;EUR;23.35;EUR/MWh*
PRL_15_KW16;Primary control Auction;2;MW;2;MW;4004;EUR/MW;8008;EUR;23.83;EUR/MWh*
PRL_15_KW16;Primary control Auction;17;MW;17;MW;4399;EUR/MW;74783;EUR;26.18;EUR/MWh*
PRL_15_KW16;Primary control Auction;3;MW;3;MW;4023;EUR/MW;12069;EUR;23.95;EUR/MWh*
PRL_15_KW16;Primary control Auction;5;MW;5;MW;4038;EUR/MW;20190;EUR;24.04;EUR/MWh*
PRL_15_KW16;Primary control Auction;9;MW;9;MW;4053;EUR/MW;36477;EUR;24.12;EUR/MWh*
PRL_15_KW16;Primary control Auction;9;MW;9;MW;3983;EUR/MW;35847;EUR;23.71;EUR/MWh*
PRL_15_KW16;Primary control Auction;9;MW;9;MW;4098;EUR/MW;36882;EUR;24.39;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;3900;EUR/MW;39000;EUR;23.21;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;3931;EUR/MW;39310;EUR;23.4;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;3962;EUR/MW;39620;EUR;23.58;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;3992;EUR/MW;39920;EUR;23.76;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4023;EUR/MW;40230;EUR;23.95;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4054;EUR/MW;40540;EUR;24.13;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4085;EUR/MW;40850;EUR;24.32;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4115;EUR/MW;41150;EUR;24.49;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4146;EUR/MW;41460;EUR;24.68;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4177;EUR/MW;41770;EUR;24.86;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4208;EUR/MW;42080;EUR;25.05;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4238;EUR/MW;42380;EUR;25.23;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4269;EUR/MW;42690;EUR;25.41;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4300;EUR/MW;43000;EUR;25.6;EUR/MWh*
PRL_15_KW16;Primary control Auction;5;MW;5;MW;4001;EUR/MW;20005;EUR;23.82;EUR/MWh*
PRL_15_KW16;Primary control Auction;5;MW;5;MW;4048;EUR/MW;20240;EUR;24.1;EUR/MWh*
PRL_15_KW16;Primary control Auction;5;MW;5;MW;4098;EUR/MW;20490;EUR;24.39;EUR/MWh*
PRL_15_KW16;Primary control Auction;5;MW;5;MW;4111;EUR/MW;20555;EUR;24.47;EUR/MWh*
PRL_15_KW16;Primary control Auction;5;MW;5;MW;4124;EUR/MW;20620;EUR;24.55;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4178;EUR/MW;41780;EUR;24.87;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4198;EUR/MW;41980;EUR;24.99;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4224;EUR/MW;42240;EUR;25.14;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4234;EUR/MW;42340;EUR;25.2;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4278;EUR/MW;42780;EUR;25.46;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4287;EUR/MW;42870;EUR;25.52;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4298;EUR/MW;42980;EUR;25.58;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4301;EUR/MW;43010;EUR;25.6;EUR/MWh*
