Ausschreibung,Beschreibung,Total_MW
PRL_24_02_13,Primary control Auction 16:00 bis 20:00,84
PRL_24_02_13,Primary control Auction 20:00 bis 24:00,31
PRL_24_02_14,Primary control Auction 00:00 bis 04:00,40
PRL_24_02_14,Primary control Auction 04:00 bis 08:00,39
PRL_24_02_14,Primary control Auction 08:00 bis 12:00,38
PRL_24_02_14,Primary control Auction 12:00 bis 16:00,21
PRL_24_02_14,Primary control Auction 16:00 bis 20:00,67
PRL_24_02_14,Primary control Auction 20:00 bis 24:00,36
PRL_24_02_15,Primary control Auction 00:00 bis 04:00,35
PRL_24_02_15,Primary control Auction 04:00 bis 08:00,36
PRL_24_02_15,Primary control Auction 08:00 bis 12:00,55
PRL_24_02_15,Primary control Auction 12:00 bis 16:00,29
PRL_24_02_15,Primary control Auction 16:00 bis 20:00,88
PRL_24_02_15,Primary control Auction 20:00 bis 24:00,38
PRL_24_02_16,Primary control Auction 00:00 bis 04:00,31
PRL_24_02_16,Primary control Auction 04:00 bis 08:00,33
PRL_24_02_16,Primary control Auction 08:00 bis 12:00,39
PRL_24_02_16,Primary control Auction 12:00 bis 16:00,27
PRL_24_02_16,Primary control Auction 16:00 bis 20:00,92
PRL_24_02_16,Primary control Auction 20:00 bis 24:00,30
PRL_24_02_17,Primary control Auction 00:00 bis 04:00,28
PRL_24_02_17,Primary control Auction 04:00 bis 08:00,26
PRL_24_02_17,Primary control Auction 08:00 bis 12:00,42
PRL_24_02_17,Primary control Auction 12:00 bis 16:00,30
PRL_24_02_17,Primary control Auction 16:00 bis 20:00,64
PRL_24_02_17,Primary control Auction 20:00 bis 24:00,28
PRL_24_02_18,Primary control Auction 00:00 bis 04:00,19
PRL_24_02_18,Primary control Auction 04:00 bis 08:00,21
PRL_24_02_18,Primary control Auction 08:00 bis 12:00,24
PRL_24_02_18,Primary control Auction 12:00 bis 16:00,24
PRL_24_02_18,Primary control Auction 16:00 bis 20:00,54
PRL_24_02_18,Primary control Auction 20:00 bis 24:00,21
PRL_24_02_19,Primary control Auction 00:00 bis 04:00,21
PRL_24_02_19,Primary control Auction 04:00 bis 08:00,24
PRL_24_02_19,Primary control Auction 08:00 bis 12:00,88
PRL_24_02_19,Primary control Auction 12:00 bis 16:00,86
PRL_24_02_19,Primary control Auction 16:00 bis 20:00,115
PRL_24_02_19,Primary control Auction 20:00 bis 24:00,50
PRL_24_02_20,Primary control Auction 00:00 bis 04:00,40
PRL_24_02_20,Primary control Auction 04:00 bis 08:00,30
PRL_24_02_20,Primary control Auction 08:00 bis 12:00,82
PRL_24_02_20,Primary control Auction 12:00 bis 16:00,50
PRL_24_02_20,Primary control Auction 16:00 bis 20:00,102
PRL_24_02_20,Primary control Auction 20:00 bis 24:00,27
PRL_24_02_21,Primary control Auction 00:00 bis 04:00,47
PRL_24_02_21,Primary control Auction 04:00 bis 08:00,49
PRL_24_02_21,Primary control Auction 08:00 bis 12:00,79
PRL_24_02_21,Primary control Auction 12:00 bis 16:00,33
PRL_24_02_21,Primary control Auction 16:00 bis 20:00,114
PRL_24_02_21,Primary control Auction 20:00 bis 24:00,47
PRL_24_02_22,Primary control Auction 00:00 bis 04:00,46
PRL_24_02_22,Primary control Auction 04:00 bis 08:00,55
PRL_24_02_22,Primary control Auction 08:00 bis 12:00,78
PRL_24_02_22,Primary control Auction 12:00 bis 16:00,96
PRL_24_02_22,Primary control Auction 16:00 bis 20:00,73
PRL_24_02_22,Primary control Auction 20:00 bis 24:00,43
PRL_24_02_23,Primary control Auction 00:00 bis 04:00,36
PRL_24_02_23,Primary control Auction 04:00 bis 08:00,70
PRL_24_02_23,Primary control Auction 08:00 bis 12:00,75
PRL_24_02_23,Primary control Auction 12:00 bis 16:00,66
PRL_24_02_23,Primary control Auction 16:00 bis 20:00,112
PRL_24_02_23,Primary control Auction 20:00 bis 24:00,87
PRL_24_02_24,Primary control Auction 00:00 bis 04:00,50
PRL_24_02_24,Primary control Auction 04:00 bis 08:00,68
PRL_24_02_24,Primary control Auction 08:00 bis 12:00,54
PRL_24_02_24,Primary control Auction 12:00 bis 16:00,43
PRL_24_02_24,Primary control Auction 16:00 bis 20:00,73
PRL_24_02_24,Primary control Auction 20:00 bis 24:00,43
PRL_24_02_25,Primary control Auction 00:00 bis 04:00,29
PRL_24_02_25,Primary control Auction 04:00 bis 08:00,29
