Ausschreibung,Preis
PRL_24_02_18_1,6.0
PRL_24_02_18_2,6.25
PRL_24_02_18_3,7.33
PRL_24_02_18_4,8.8
PRL_24_02_18_5,5.84
PRL_24_02_18_6,4.6
PRL_24_02_19_1,6.25
PRL_24_02_19_2,6.0
PRL_24_02_19_3,5.84
PRL_24_02_19_4,6.34
PRL_24_02_19_5,7.9
PRL_24_02_19_6,4.78
PRL_24_02_20_1,7.38
PRL_24_02_20_2,6.8
PRL_24_02_20_3,7.1
PRL_24_02_20_4,8.2
PRL_24_02_20_5,8.49
PRL_24_02_20_6,4.78
PRL_24_02_21_1,10.98
PRL_24_02_21_2,9.06
PRL_24_02_21_3,7.34
PRL_24_02_21_4,7.6
PRL_24_02_21_5,8.05
PRL_24_02_21_6,5.74
PRL_24_02_22_1,9.72
PRL_24_02_22_2,9.69
PRL_24_02_22_3,6.0
PRL_24_02_22_4,8.09
PRL_24_02_22_5,8.76
PRL_24_02_22_6,11.15
PRL_24_02_23_1,13.9
PRL_24_02_23_2,16.53
PRL_24_02_23_3,8.0
PRL_24_02_23_4,10.13
PRL_24_02_23_5,8.61
PRL_24_02_23_6,8.0
PRL_24_02_24_1,11.85
PRL_24_02_24_2,12.28
PRL_24_02_24_3,8.17
PRL_24_02_24_4,10.42
PRL_24_02_24_5,7.4
PRL_24_02_24_6,8.0
PRL_24_02_25_1,11.2
PRL_24_02_25_2,8.62
PRL_24_02_25_3,8.57
PRL_24_02_25_4,10.4
PRL_24_02_25_5,7.92
PRL_24_02_25_6,6.98
PRL_24_02_26_1,8.0
PRL_24_02_26_2,5.5
PRL_24_02_26_3,7.0
PRL_24_02_26_4,7.28
PRL_24_02_26_5,5.11
PRL_24_02_27_1,6.38
PRL_24_02_27_2,4.9
PRL_24_02_27_3,4.75
PRL_24_02_27_4,8.7
PRL_24_02_27_5,4.62
PRL_24_02_28_1,4.8
PRL_24_02_28_2,4.78
PRL_24_02_28_3,5.4
PRL_24_02_28_4,4.77
PRL_24_02_28_5,13.8
PRL_24_02_28_6,4.6
PRL_24_02_29_1,17.0
PRL_24_02_29_2,13.56
PRL_24_02_29_3,9.0
PRL_24_02_29_4,13.5
PRL_24_02_29_5,11.42
PRL_24_02_29_6,10.12
PRL_24_03_01_1,6.58
PRL_24_03_01_2,5.75
PRL_24_03_01_3,5.9
PRL_24_03_01_4,6.11
PRL_24_03_01_5,6.61
PRL_24_03_01_6,6.0
PRL_24_03_02_1,5.34
PRL_24_03_02_2,5.22
PRL_24_03_02_3,5.16
PRL_24_03_02_4,5.42
PRL_24_03_02_5,5.48
PRL_24_03_02_6,4.78
PRL_24_03_03_1,5.59
PRL_24_03_03_2,4.99
PRL_24_03_03_3,6.25
PRL_24_03_03_4,7.3
PRL_24_03_03_5,7.02
PRL_24_03_03_6,4.72
PRL_24_03_04_1,5.57
PRL_24_03_04_2,5.73
PRL_24_03_04_3,6.98
PRL_24_03_04_4,5.5
PRL_24_03_04_5,9.24
PRL_24_03_04_6,4.56
PRL_24_03_05_1,6.25
PRL_24_03_05_2,5.28
PRL_24_03_05_3,5.3
PRL_24_03_05_4,4.78
PRL_24_03_05_5,9.78
PRL_24_03_05_6,4.6
PRL_24_03_06_1,5.05
PRL_24_03_06_2,4.91
PRL_24_03_06_3,4.78
PRL_24_03_06_4,9.5
PRL_24_03_06_5,4.5
PRL_24_03_07_1,5.0
PRL_24_03_07_2,5.48
PRL_24_03_07_3,6.83
PRL_24_03_07_4,7.62
PRL_24_03_07_5,9.5
PRL_24_03_07_6,4.6
PRL_24_03_08_1,5.0
PRL_24_03_08_2,6.07
PRL_24_03_08_3,6.9
PRL_24_03_08_4,10.5
PRL_24_03_08_5,8.96
PRL_24_03_08_6,5.05
PRL_24_03_09_1,5.56
PRL_24_03_09_2,5.5
PRL_24_03_09_3,9.85
PRL_24_03_09_4,13.5
PRL_24_03_09_5,9.44
PRL_24_03_09_6,6.93
PRL_24_03_10_1,6.84
PRL_24_03_10_2,6.0
PRL_24_03_10_3,10.0
PRL_24_03_10_4,13.9
PRL_24_03_10_5,9.45
PRL_24_03_10_6,6.25
PRL_24_03_11_1,8.88
PRL_24_03_11_2,6.92
PRL_24_03_11_3,8.5
PRL_24_03_11_4,9.89
PRL_24_03_11_5,10.07
PRL_24_03_11_6,5.28
PRL_24_03_12_1,4.88
PRL_24_03_12_2,6.26
PRL_24_03_12_3,8.5
PRL_24_03_12_4,7.48
PRL_24_03_12_5,10.4
PRL_24_03_12_6,5.4
PRL_24_03_13_1,5.02
PRL_24_03_13_2,5.9
PRL_24_03_13_3,5.52
PRL_24_03_13_4,6.02
PRL_24_03_13_5,10.5
PRL_24_03_13_6,4.78
PRL_24_03_14_1,5.36
PRL_24_03_14_2,5.54
PRL_24_03_14_3,6.84
PRL_24_03_14_4,6.18
PRL_24_03_14_5,9.71
PRL_24_03_14_6,4.78
PRL_24_03_15_1,5.0
PRL_24_03_15_2,4.78
PRL_24_03_15_3,6.48
PRL_24_03_15_4,7.62
PRL_24_03_15_5,8.5
PRL_24_03_15_6,4.76
PRL_24_03_16_1,5.29
PRL_24_03_16_2,5.57
PRL_24_03_16_3,6.8
PRL_24_03_16_4,9.89
PRL_24_03_16_5,9.0
PRL_24_03_16_6,4.64
PRL_24_03_17_1,7.37
PRL_24_03_17_2,6.4
PRL_24_03_17_3,9.0
PRL_24_03_17_4,11.39
PRL_24_03_17_5,7.88
PRL_24_03_17_6,5.18
PRL_24_03_18_1,6.5
PRL_24_03_18_2,7.32
PRL_24_03_18_3,7.56
PRL_24_03_18_4,9.75
PRL_24_03_18_5,5.0
PRL_24_03_19_1,6.52
PRL_24_03_19_2,5.2
PRL_24_03_19_3,7.19
PRL_24_03_19_4,7.5
PRL_24_03_19_5,9.89
PRL_24_03_19_6,5.25
PRL_24_03_20_1,5.75
PRL_24_03_20_2,7.78
PRL_24_03_20_3,8.68
PRL_24_03_20_4,13.9
PRL_24_03_20_5,5.67
PRL_24_03_21_1,5.11
PRL_24_03_21_2,6.0
PRL_24_03_21_3,8.94
PRL_24_03_21_4,8.52
PRL_24_03_21_5,13.0
PRL_24_03_21_6,6.02
PRL_24_03_22_1,5.02
PRL_24_03_22_2,6.76
PRL_24_03_22_3,9.08
PRL_24_03_22_4,8.02
PRL_24_03_22_5,12.75
PRL_24_03_22_6,6.22
PRL_24_03_23_1,5.08
PRL_24_03_23_2,6.5
PRL_24_03_23_3,11.2
PRL_24_03_23_4,12.9
PRL_24_03_23_5,14.06
PRL_24_03_23_6,8.75
PRL_24_03_24_1,8.65
PRL_24_03_24_2,9.88
PRL_24_03_24_3,17.68
PRL_24_03_24_4,22.9
PRL_24_03_24_5,17.64
PRL_24_03_24_6,8.0
PRL_24_03_25_1,9.84
PRL_24_03_25_2,10.14
PRL_24_03_25_3,10.86
PRL_24_03_25_4,9.0
PRL_24_03_25_5,16.02
PRL_24_03_25_6,7.73
